,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
builder,pmac135
captain,Airjoe
settler,pmac135
mayor,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
captain,pmac135
settler,Airjoe
craftsman,pmac135
mayor,Airjoe
settler,buzzsnuzz
trader,Airjoe
craftsman,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
mayor,pmac135
builder,Airjoe
captain,pmac135
settler,Airjoe
mayor,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
captain,pmac135
trader,buzzsnuzz
craftsman,pmac135
captain,Airjoe
builder,pmac135
settler,Airjoe
trader,buzzsnuzz
mayor,Airjoe
builder,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
craftsman,pmac135
trader,Airjoe
captain,pmac135
builder,Airjoe
mayor,buzzsnuzz
