,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
mayor,pmac135
trader,buzzsnuzz
settler,pmac135
captain,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
builder,pmac135
builder,buzzsnuzz
settler,pmac135
captain,Airjoe
builder,pmac135
mayor,Airjoe
settler,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
captain,Airjoe
trader,pmac135
builder,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
settler,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
builder,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,Airjoe
