,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
mayor,pmac135
trader,Airjoe
builder,pmac135
captain,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
craftsman,Airjoe
mayor,buzzsnuzz
captain,Airjoe
settler,pmac135
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,pmac135
settler,Airjoe
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
settler,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
mayor,pmac135
craftsman,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
trader,pmac135
builder,Airjoe
captain,pmac135
mayor,buzzsnuzz
