,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
builder,pmac135
settler,Airjoe
mayor,buzzsnuzz
trader,Airjoe
craftsman,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,Airjoe
craftsman,pmac135
trader,Airjoe
builder,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
settler,pmac135
craftsman,buzzsnuzz
builder,pmac135
trader,Airjoe
mayor,pmac135
builder,Airjoe
captain,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
trader,pmac135
mayor,Airjoe
captain,pmac135
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
settler,pmac135
trader,buzzsnuzz
craftsman,pmac135
builder,Airjoe
trader,pmac135
mayor,Airjoe
builder,buzzsnuzz
captain,Airjoe
settler,buzzsnuzz
trader,pmac135
craftsman,buzzsnuzz
trader,pmac135
builder,Airjoe
settler,pmac135
captain,Airjoe
builder,buzzsnuzz
