,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
settler,pmac135
trader,Airjoe
captain,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
mayor,Airjoe
settler,pmac135
captain,Airjoe
trader,pmac135
settler,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
trader,pmac135
trader,Airjoe
settler,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
captain,pmac135
craftsman,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
captain,Airjoe
mayor,pmac135
builder,buzzsnuzz
