,0
builder,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
settler,Airjoe
trader,pmac135
captain,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
builder,Airjoe
craftsman,pmac135
captain,Airjoe
trader,pmac135
settler,buzzsnuzz
craftsman,pmac135
mayor,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
trader,Airjoe
craftsman,pmac135
builder,Airjoe
captain,pmac135
mayor,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
settler,pmac135
mayor,Airjoe
trader,pmac135
builder,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,Airjoe
mayor,buzzsnuzz
trader,Airjoe
settler,pmac135
captain,Airjoe
settler,pmac135
craftsman,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
captain,Airjoe
settler,pmac135
builder,Airjoe
captain,pmac135
craftsman,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
trader,Airjoe
