,0
builder,pmac135
settler,Airjoe
mayor,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
settler,pmac135
trader,buzzsnuzz
settler,pmac135
mayor,Airjoe
captain,pmac135
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
builder,pmac135
settler,buzzsnuzz
mayor,pmac135
captain,Airjoe
builder,pmac135
craftsman,Airjoe
trader,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,Airjoe
craftsman,pmac135
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
settler,pmac135
craftsman,buzzsnuzz
mayor,pmac135
captain,Airjoe
builder,pmac135
trader,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
builder,pmac135
mayor,Airjoe
trader,pmac135
builder,Airjoe
captain,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
builder,pmac135
