,0
builder,buzzsnuzz
mayor,Airjoe
settler,pmac135
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
mayor,Airjoe
settler,pmac135
settler,Airjoe
mayor,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
captain,pmac135
settler,Airjoe
builder,pmac135
captain,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
settler,pmac135
captain,Airjoe
builder,pmac135
craftsman,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
builder,pmac135
craftsman,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
trader,Airjoe
