,0
settler,pmac135
mayor,Airjoe
builder,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
builder,Airjoe
settler,pmac135
mayor,Airjoe
builder,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
trader,pmac135
settler,Airjoe
builder,pmac135
mayor,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
mayor,pmac135
builder,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
settler,pmac135
settler,buzzsnuzz
builder,pmac135
craftsman,Airjoe
trader,pmac135
captain,Airjoe
craftsman,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,pmac135
settler,Airjoe
