,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
settler,Airjoe
craftsman,pmac135
captain,Airjoe
craftsman,pmac135
mayor,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
settler,pmac135
captain,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
trader,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
trader,pmac135
captain,Airjoe
mayor,pmac135
builder,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
trader,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
craftsman,pmac135
mayor,Airjoe
captain,pmac135
builder,buzzsnuzz
