,0
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
captain,pmac135
trader,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
mayor,pmac135
builder,Airjoe
settler,pmac135
craftsman,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
mayor,Airjoe
captain,pmac135
craftsman,Airjoe
trader,pmac135
builder,buzzsnuzz
settler,pmac135
trader,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
captain,Airjoe
builder,pmac135
craftsman,Airjoe
captain,pmac135
settler,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
mayor,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,pmac135
builder,buzzsnuzz
