,0
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
settler,Airjoe
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
builder,Airjoe
craftsman,pmac135
mayor,Airjoe
trader,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
settler,Airjoe
mayor,pmac135
trader,Airjoe
craftsman,pmac135
captain,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
mayor,Airjoe
builder,pmac135
builder,Airjoe
settler,pmac135
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,pmac135
builder,buzzsnuzz
captain,pmac135
trader,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
captain,Airjoe
craftsman,pmac135
mayor,Airjoe
captain,pmac135
settler,buzzsnuzz
