,0
builder,pmac135
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
mayor,pmac135
trader,Airjoe
settler,pmac135
builder,buzzsnuzz
craftsman,pmac135
mayor,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
settler,pmac135
captain,Airjoe
settler,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
builder,pmac135
mayor,Airjoe
settler,pmac135
craftsman,buzzsnuzz
captain,pmac135
craftsman,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
captain,Airjoe
trader,pmac135
builder,Airjoe
settler,pmac135
craftsman,buzzsnuzz
captain,pmac135
craftsman,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
captain,Airjoe
trader,pmac135
