,0
builder,buzzsnuzz
settler,Airjoe
mayor,pmac135
mayor,Airjoe
craftsman,pmac135
settler,buzzsnuzz
captain,pmac135
settler,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
settler,Airjoe
mayor,pmac135
craftsman,Airjoe
trader,pmac135
mayor,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,pmac135
trader,Airjoe
builder,pmac135
mayor,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
trader,pmac135
builder,Airjoe
mayor,pmac135
captain,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
mayor,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,pmac135
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
trader,Airjoe
captain,pmac135
builder,Airjoe
craftsman,pmac135
mayor,buzzsnuzz
