,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,pmac135
trader,Airjoe
captain,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
settler,Airjoe
mayor,pmac135
builder,Airjoe
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,pmac135
captain,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
craftsman,Airjoe
captain,pmac135
captain,Airjoe
craftsman,pmac135
trader,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
captain,Airjoe
captain,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
captain,Airjoe
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
captain,Airjoe
craftsman,pmac135
mayor,Airjoe
captain,pmac135
builder,buzzsnuzz
