,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
captain,pmac135
craftsman,buzzsnuzz
trader,pmac135
mayor,Airjoe
builder,pmac135
settler,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,pmac135
mayor,Airjoe
captain,pmac135
settler,Airjoe
craftsman,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
mayor,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
trader,pmac135
craftsman,Airjoe
captain,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
craftsman,pmac135
captain,Airjoe
trader,pmac135
craftsman,Airjoe
captain,buzzsnuzz
