,0
builder,Airjoe
mayor,pmac135
craftsman,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
settler,Airjoe
trader,pmac135
builder,buzzsnuzz
mayor,pmac135
trader,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
builder,pmac135
trader,Airjoe
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,pmac135
mayor,Airjoe
trader,pmac135
craftsman,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
builder,Airjoe
craftsman,pmac135
mayor,Airjoe
settler,pmac135
captain,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
captain,pmac135
builder,Airjoe
trader,pmac135
captain,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
settler,Airjoe
