,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
settler,pmac135
craftsman,Airjoe
captain,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
mayor,pmac135
settler,buzzsnuzz
builder,pmac135
craftsman,Airjoe
captain,pmac135
mayor,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
craftsman,pmac135
craftsman,buzzsnuzz
builder,pmac135
settler,Airjoe
mayor,pmac135
captain,Airjoe
trader,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,Airjoe
captain,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
mayor,pmac135
settler,Airjoe
craftsman,pmac135
captain,Airjoe
trader,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,pmac135
captain,Airjoe
