,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
settler,pmac135
craftsman,Airjoe
captain,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
craftsman,pmac135
settler,Airjoe
captain,pmac135
craftsman,Airjoe
mayor,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
trader,pmac135
builder,Airjoe
mayor,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
mayor,pmac135
captain,Airjoe
settler,pmac135
builder,Airjoe
craftsman,buzzsnuzz
mayor,Airjoe
captain,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
trader,pmac135
settler,Airjoe
craftsman,pmac135
builder,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
craftsman,pmac135
mayor,Airjoe
