,0
settler,pmac135
mayor,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
builder,pmac135
settler,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
trader,Airjoe
craftsman,pmac135
captain,Airjoe
craftsman,pmac135
settler,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
mayor,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
builder,pmac135
trader,Airjoe
craftsman,pmac135
captain,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
trader,pmac135
craftsman,Airjoe
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
settler,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
builder,Airjoe
craftsman,pmac135
captain,Airjoe
trader,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
builder,pmac135
mayor,buzzsnuzz
