,0
builder,buzzsnuzz
mayor,pmac135
settler,Airjoe
trader,pmac135
settler,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
settler,pmac135
builder,Airjoe
captain,pmac135
trader,Airjoe
mayor,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,Airjoe
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
settler,pmac135
trader,buzzsnuzz
craftsman,pmac135
mayor,Airjoe
trader,pmac135
builder,Airjoe
captain,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,pmac135
trader,Airjoe
captain,pmac135
builder,Airjoe
mayor,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
mayor,pmac135
