,0
settler,Airjoe
builder,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
craftsman,pmac135
trader,Airjoe
captain,pmac135
mayor,Airjoe
builder,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
settler,pmac135
builder,Airjoe
captain,pmac135
settler,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
settler,pmac135
trader,Airjoe
builder,pmac135
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
trader,pmac135
trader,buzzsnuzz
builder,pmac135
captain,Airjoe
captain,pmac135
craftsman,Airjoe
settler,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
trader,pmac135
mayor,Airjoe
captain,pmac135
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
craftsman,pmac135
