,0
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
settler,Airjoe
craftsman,pmac135
mayor,buzzsnuzz
trader,pmac135
craftsman,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
mayor,Airjoe
builder,pmac135
settler,Airjoe
mayor,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
mayor,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
settler,pmac135
trader,Airjoe
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
builder,Airjoe
settler,pmac135
mayor,Airjoe
settler,pmac135
captain,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
trader,Airjoe
mayor,pmac135
craftsman,Airjoe
settler,pmac135
trader,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
builder,Airjoe
settler,pmac135
