,0
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
settler,pmac135
mayor,Airjoe
craftsman,pmac135
trader,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
builder,Airjoe
trader,pmac135
mayor,buzzsnuzz
settler,pmac135
trader,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
settler,Airjoe
builder,pmac135
mayor,Airjoe
builder,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
settler,Airjoe
builder,pmac135
craftsman,Airjoe
builder,pmac135
mayor,buzzsnuzz
captain,pmac135
trader,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,pmac135
captain,Airjoe
builder,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
