,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
mayor,pmac135
trader,buzzsnuzz
builder,pmac135
mayor,Airjoe
captain,pmac135
craftsman,Airjoe
settler,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
captain,Airjoe
trader,pmac135
settler,Airjoe
builder,buzzsnuzz
mayor,Airjoe
captain,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
builder,Airjoe
mayor,pmac135
craftsman,Airjoe
settler,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,Airjoe
trader,pmac135
settler,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,pmac135
captain,Airjoe
builder,pmac135
mayor,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
settler,pmac135
