,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
captain,pmac135
mayor,Airjoe
mayor,pmac135
builder,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
mayor,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,Airjoe
settler,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
craftsman,pmac135
trader,Airjoe
captain,pmac135
settler,Airjoe
mayor,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,Airjoe
trader,pmac135
craftsman,Airjoe
captain,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
settler,pmac135
mayor,buzzsnuzz
builder,pmac135
settler,Airjoe
captain,pmac135
craftsman,Airjoe
builder,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
