,0
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
mayor,Airjoe
craftsman,pmac135
settler,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
mayor,Airjoe
builder,pmac135
craftsman,Airjoe
mayor,pmac135
settler,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
settler,pmac135
trader,Airjoe
mayor,pmac135
captain,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
settler,Airjoe
builder,pmac135
captain,Airjoe
craftsman,pmac135
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
captain,Airjoe
craftsman,pmac135
trader,Airjoe
mayor,pmac135
builder,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
captain,Airjoe
craftsman,pmac135
