,0
builder,buzzsnuzz
settler,Airjoe
mayor,pmac135
craftsman,Airjoe
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
craftsman,Airjoe
builder,pmac135
mayor,Airjoe
settler,pmac135
builder,buzzsnuzz
craftsman,pmac135
mayor,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
captain,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,pmac135
settler,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
trader,Airjoe
builder,pmac135
settler,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
builder,Airjoe
craftsman,pmac135
trader,Airjoe
craftsman,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
settler,Airjoe
craftsman,pmac135
builder,Airjoe
trader,pmac135
mayor,buzzsnuzz
