,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
builder,pmac135
settler,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
trader,Airjoe
settler,pmac135
builder,Airjoe
craftsman,pmac135
mayor,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
settler,pmac135
mayor,Airjoe
settler,pmac135
captain,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
trader,Airjoe
settler,pmac135
craftsman,Airjoe
trader,pmac135
mayor,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
trader,Airjoe
builder,pmac135
mayor,Airjoe
settler,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
builder,Airjoe
