,0
settler,pmac135
mayor,Airjoe
craftsman,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
builder,pmac135
settler,Airjoe
mayor,pmac135
craftsman,Airjoe
captain,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
trader,Airjoe
captain,pmac135
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
trader,pmac135
builder,Airjoe
mayor,pmac135
settler,Airjoe
captain,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
settler,pmac135
builder,Airjoe
mayor,pmac135
craftsman,Airjoe
captain,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
builder,pmac135
settler,Airjoe
