,0
settler,pmac135
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
mayor,pmac135
settler,Airjoe
builder,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
builder,Airjoe
trader,pmac135
mayor,Airjoe
craftsman,pmac135
captain,buzzsnuzz
settler,pmac135
mayor,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
craftsman,Airjoe
captain,pmac135
settler,Airjoe
craftsman,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
mayor,Airjoe
trader,pmac135
builder,Airjoe
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
settler,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
captain,Airjoe
builder,pmac135
trader,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
craftsman,Airjoe
mayor,buzzsnuzz
captain,Airjoe
craftsman,pmac135
captain,Airjoe
builder,pmac135
trader,buzzsnuzz
