,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
builder,pmac135
settler,Airjoe
mayor,buzzsnuzz
trader,Airjoe
craftsman,buzzsnuzz
captain,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
captain,pmac135
settler,Airjoe
builder,pmac135
craftsman,Airjoe
captain,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
trader,pmac135
craftsman,Airjoe
captain,pmac135
trader,Airjoe
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
builder,pmac135
craftsman,Airjoe
trader,pmac135
captain,Airjoe
builder,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
settler,pmac135
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
builder,pmac135
