,0
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
mayor,Airjoe
settler,pmac135
builder,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
builder,pmac135
builder,Airjoe
mayor,pmac135
settler,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
builder,Airjoe
craftsman,pmac135
settler,Airjoe
trader,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
settler,Airjoe
mayor,pmac135
builder,Airjoe
craftsman,pmac135
captain,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
mayor,Airjoe
captain,pmac135
trader,Airjoe
captain,pmac135
builder,buzzsnuzz
captain,pmac135
mayor,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
captain,pmac135
builder,Airjoe
captain,pmac135
craftsman,buzzsnuzz
captain,pmac135
craftsman,buzzsnuzz
mayor,Airjoe
