,0
settler,Airjoe
builder,buzzsnuzz
mayor,pmac135
mayor,buzzsnuzz
trader,pmac135
settler,Airjoe
craftsman,pmac135
captain,Airjoe
builder,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
settler,pmac135
trader,Airjoe
craftsman,pmac135
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,Airjoe
builder,pmac135
mayor,Airjoe
settler,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
captain,pmac135
trader,buzzsnuzz
craftsman,pmac135
builder,Airjoe
captain,pmac135
mayor,Airjoe
settler,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
trader,pmac135
mayor,Airjoe
builder,pmac135
mayor,Airjoe
captain,buzzsnuzz
