,0
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
settler,pmac135
craftsman,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
captain,Airjoe
mayor,pmac135
settler,Airjoe
mayor,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,Airjoe
craftsman,buzzsnuzz
settler,Airjoe
mayor,pmac135
builder,Airjoe
trader,pmac135
captain,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
mayor,Airjoe
captain,pmac135
mayor,Airjoe
craftsman,pmac135
captain,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
trader,pmac135
builder,Airjoe
craftsman,pmac135
settler,buzzsnuzz
captain,pmac135
craftsman,buzzsnuzz
mayor,Airjoe
captain,buzzsnuzz
trader,Airjoe
craftsman,pmac135
captain,Airjoe
builder,pmac135
craftsman,buzzsnuzz
