,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
builder,pmac135
craftsman,Airjoe
captain,buzzsnuzz
trader,Airjoe
settler,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
craftsman,pmac135
mayor,buzzsnuzz
builder,pmac135
trader,Airjoe
captain,pmac135
settler,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
builder,Airjoe
captain,pmac135
settler,Airjoe
craftsman,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,Airjoe
settler,pmac135
captain,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
