,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
mayor,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
trader,pmac135
craftsman,Airjoe
mayor,pmac135
captain,Airjoe
craftsman,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,Airjoe
captain,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
trader,pmac135
mayor,Airjoe
settler,pmac135
builder,Airjoe
craftsman,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,Airjoe
captain,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,pmac135
settler,Airjoe
settler,pmac135
builder,Airjoe
craftsman,buzzsnuzz
