,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
builder,pmac135
trader,buzzsnuzz
mayor,pmac135
captain,Airjoe
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
settler,pmac135
captain,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
builder,pmac135
settler,Airjoe
trader,pmac135
mayor,Airjoe
captain,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
settler,pmac135
mayor,Airjoe
builder,pmac135
captain,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
trader,pmac135
mayor,Airjoe
builder,pmac135
captain,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
captain,pmac135
