,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
settler,pmac135
trader,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
settler,pmac135
builder,buzzsnuzz
mayor,pmac135
trader,Airjoe
builder,pmac135
settler,Airjoe
mayor,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
mayor,pmac135
trader,buzzsnuzz
builder,pmac135
settler,Airjoe
craftsman,pmac135
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
mayor,pmac135
settler,buzzsnuzz
trader,pmac135
captain,Airjoe
builder,pmac135
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
mayor,pmac135
settler,Airjoe
