,0
builder,Airjoe
settler,pmac135
mayor,buzzsnuzz
settler,pmac135
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
builder,Airjoe
settler,pmac135
mayor,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
craftsman,Airjoe
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
captain,Airjoe
craftsman,pmac135
settler,buzzsnuzz
trader,pmac135
craftsman,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
captain,Airjoe
settler,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
craftsman,pmac135
settler,Airjoe
captain,pmac135
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
craftsman,Airjoe
trader,buzzsnuzz
captain,Airjoe
craftsman,pmac135
builder,Airjoe
trader,pmac135
mayor,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
trader,Airjoe
builder,buzzsnuzz
captain,Airjoe
mayor,pmac135
