,0
settler,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,buzzsnuzz
mayor,pmac135
trader,buzzsnuzz
builder,pmac135
captain,Airjoe
craftsman,pmac135
settler,Airjoe
mayor,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
mayor,pmac135
settler,buzzsnuzz
craftsman,pmac135
trader,Airjoe
captain,pmac135
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
captain,pmac135
settler,buzzsnuzz
craftsman,pmac135
captain,Airjoe
trader,pmac135
builder,Airjoe
craftsman,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
mayor,pmac135
builder,Airjoe
craftsman,pmac135
captain,Airjoe
settler,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
builder,pmac135
mayor,Airjoe
