,0
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
settler,pmac135
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,Airjoe
mayor,pmac135
craftsman,Airjoe
captain,pmac135
settler,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
builder,pmac135
mayor,Airjoe
craftsman,pmac135
trader,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
captain,Airjoe
craftsman,pmac135
mayor,Airjoe
trader,pmac135
captain,buzzsnuzz
captain,pmac135
trader,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
craftsman,Airjoe
captain,pmac135
mayor,Airjoe
builder,pmac135
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
captain,Airjoe
settler,pmac135
craftsman,Airjoe
builder,pmac135
captain,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
builder,Airjoe
mayor,pmac135
