,0
settler,pmac135
mayor,buzzsnuzz
builder,Airjoe
builder,buzzsnuzz
mayor,Airjoe
settler,pmac135
craftsman,Airjoe
trader,pmac135
captain,buzzsnuzz
mayor,pmac135
settler,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
craftsman,pmac135
captain,Airjoe
craftsman,pmac135
settler,buzzsnuzz
trader,pmac135
settler,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
mayor,pmac135
settler,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
builder,pmac135
captain,Airjoe
builder,pmac135
trader,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
builder,Airjoe
captain,pmac135
craftsman,Airjoe
builder,pmac135
captain,buzzsnuzz
