,0
settler,Airjoe
builder,pmac135
mayor,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
builder,Airjoe
captain,pmac135
mayor,Airjoe
craftsman,pmac135
trader,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
settler,Airjoe
craftsman,pmac135
builder,Airjoe
trader,pmac135
craftsman,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
captain,Airjoe
captain,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
mayor,pmac135
settler,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
mayor,Airjoe
captain,buzzsnuzz
trader,Airjoe
craftsman,pmac135
builder,Airjoe
captain,pmac135
trader,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
captain,pmac135
trader,Airjoe
craftsman,pmac135
captain,buzzsnuzz
