,0
settler,buzzsnuzz
builder,Airjoe
mayor,pmac135
settler,Airjoe
trader,pmac135
craftsman,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
builder,pmac135
settler,Airjoe
captain,pmac135
mayor,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
settler,Airjoe
craftsman,pmac135
mayor,Airjoe
craftsman,pmac135
trader,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
captain,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
trader,pmac135
captain,Airjoe
settler,pmac135
trader,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
craftsman,Airjoe
builder,buzzsnuzz
captain,Airjoe
mayor,pmac135
trader,Airjoe
captain,pmac135
builder,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
captain,Airjoe
craftsman,pmac135
mayor,Airjoe
captain,pmac135
trader,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
builder,Airjoe
captain,buzzsnuzz
mayor,Airjoe
settler,pmac135
