,0
settler,Airjoe
builder,buzzsnuzz
mayor,pmac135
mayor,buzzsnuzz
craftsman,pmac135
settler,Airjoe
trader,pmac135
captain,Airjoe
builder,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
settler,pmac135
builder,Airjoe
trader,pmac135
mayor,Airjoe
craftsman,buzzsnuzz
trader,Airjoe
captain,buzzsnuzz
builder,pmac135
craftsman,buzzsnuzz
settler,pmac135
mayor,Airjoe
builder,pmac135
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
trader,buzzsnuzz
captain,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
craftsman,pmac135
captain,Airjoe
trader,buzzsnuzz
captain,Airjoe
builder,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
settler,pmac135
captain,Airjoe
builder,pmac135
captain,Airjoe
mayor,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
builder,pmac135
