,0
settler,Airjoe
builder,buzzsnuzz
mayor,pmac135
mayor,buzzsnuzz
craftsman,pmac135
trader,Airjoe
builder,pmac135
settler,Airjoe
mayor,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
trader,pmac135
builder,buzzsnuzz
settler,pmac135
mayor,Airjoe
builder,pmac135
captain,Airjoe
craftsman,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
mayor,pmac135
settler,buzzsnuzz
craftsman,pmac135
builder,Airjoe
trader,pmac135
mayor,Airjoe
captain,buzzsnuzz
builder,Airjoe
settler,buzzsnuzz
mayor,pmac135
builder,buzzsnuzz
craftsman,pmac135
captain,Airjoe
trader,pmac135
settler,Airjoe
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
builder,pmac135
captain,buzzsnuzz
trader,pmac135
settler,Airjoe
builder,pmac135
captain,Airjoe
settler,buzzsnuzz
