,0
settler,buzzsnuzz
builder,pmac135
mayor,Airjoe
craftsman,pmac135
trader,Airjoe
captain,buzzsnuzz
settler,Airjoe
mayor,buzzsnuzz
builder,pmac135
builder,buzzsnuzz
mayor,pmac135
craftsman,Airjoe
trader,pmac135
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
captain,pmac135
settler,Airjoe
trader,pmac135
craftsman,Airjoe
builder,buzzsnuzz
mayor,Airjoe
settler,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
trader,pmac135
builder,Airjoe
builder,pmac135
mayor,Airjoe
settler,buzzsnuzz
craftsman,Airjoe
captain,buzzsnuzz
settler,pmac135
trader,buzzsnuzz
builder,pmac135
craftsman,Airjoe
mayor,pmac135
captain,Airjoe
settler,buzzsnuzz
builder,Airjoe
trader,buzzsnuzz
craftsman,pmac135
trader,buzzsnuzz
builder,pmac135
captain,Airjoe
craftsman,pmac135
captain,Airjoe
mayor,buzzsnuzz
settler,Airjoe
builder,buzzsnuzz
craftsman,pmac135
