,0
settler,Airjoe
mayor,buzzsnuzz
craftsman,pmac135
builder,buzzsnuzz
trader,pmac135
mayor,Airjoe
captain,pmac135
settler,Airjoe
builder,buzzsnuzz
mayor,Airjoe
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,pmac135
settler,Airjoe
settler,pmac135
mayor,Airjoe
builder,buzzsnuzz
mayor,Airjoe
trader,buzzsnuzz
craftsman,pmac135
captain,buzzsnuzz
trader,pmac135
settler,Airjoe
builder,pmac135
craftsman,Airjoe
captain,buzzsnuzz
builder,Airjoe
mayor,buzzsnuzz
settler,pmac135
captain,buzzsnuzz
craftsman,pmac135
trader,Airjoe
builder,pmac135
captain,Airjoe
settler,buzzsnuzz
mayor,Airjoe
builder,buzzsnuzz
trader,pmac135
mayor,buzzsnuzz
craftsman,pmac135
captain,Airjoe
builder,pmac135
settler,Airjoe
captain,buzzsnuzz
trader,Airjoe
craftsman,buzzsnuzz
mayor,pmac135
