,0
settler,pmac135
builder,Airjoe
trader,buzzsnuzz
settler,Airjoe
captain,buzzsnuzz
mayor,pmac135
craftsman,buzzsnuzz
trader,pmac135
builder,Airjoe
builder,pmac135
mayor,Airjoe
settler,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
mayor,pmac135
trader,buzzsnuzz
settler,pmac135
builder,Airjoe
craftsman,pmac135
captain,Airjoe
settler,buzzsnuzz
mayor,Airjoe
captain,buzzsnuzz
builder,pmac135
mayor,buzzsnuzz
craftsman,pmac135
trader,Airjoe
craftsman,pmac135
builder,Airjoe
settler,buzzsnuzz
mayor,Airjoe
builder,buzzsnuzz
captain,pmac135
trader,buzzsnuzz
craftsman,pmac135
captain,Airjoe
builder,pmac135
settler,Airjoe
mayor,buzzsnuzz
captain,Airjoe
craftsman,buzzsnuzz
trader,pmac135
captain,buzzsnuzz
builder,pmac135
craftsman,Airjoe
mayor,pmac135
captain,Airjoe
settler,buzzsnuzz
captain,Airjoe
trader,buzzsnuzz
builder,pmac135
